X1,X2,X3,X4,X5,z_score,zone,revenue_growth,leverage_ratio,interest_coverage,defaulted
0.034,0.0846,0.0708,0.6067,1.0472,1.6161,grey,-0.0212,2.0244,3.1039,0
-0.0546,-0.1876,0.016,0.3636,0.5039,0.5072,distress,-0.0725,4.756,0.5979,0
0.1953,0.084,0.0262,0.6336,1.1678,1.7242,grey,0.0522,0.8304,3.8124,0
0.4799,0.2644,0.2243,1.3332,1.1384,2.9608,safe,0.023,0.9318,7.6462,0
0.0181,0.0849,-0.0011,0.4991,0.5275,0.8176,distress,-0.2086,2.56,0.9952,1
0.0896,-0.2157,0.0929,0.1631,0.5292,0.7667,distress,0.0937,2.4605,1.1323,1
0.1761,0.1173,0.0554,0.8254,1.5919,2.3332,grey,0.0684,2.0717,1.6797,0
0.4901,0.3181,0.1253,2.2122,1.4763,3.4127,safe,0.1193,0.4182,11.4934,0
0.2861,0.2725,0.2697,1.3671,1.4905,3.3356,safe,-0.021,0.8355,9.0777,0
0.1824,0.0561,0.0624,0.8747,1.1116,1.849,grey,0.0323,1.7931,2.1586,0
-0.0399,-0.0828,0.0181,0.5079,0.4285,0.5985,distress,-0.0424,3.0542,0.5466,0
0.3599,0.3931,0.2879,2.0581,1.0885,3.4361,safe,0.0264,0.478,11.3503,0
0.198,0.1526,0.064,1.0362,0.8886,1.7921,grey,-0.0241,1.0451,3.0355,0
0.3703,0.1991,0.2224,2.1313,1.3155,3.3333,safe,0.1134,0.838,10.8161,0
0.1323,0.1273,0.1102,1.1243,0.8264,1.8421,grey,-0.0219,2.1492,1.6468,0
0.171,-0.0726,0.0063,0.3763,0.496,0.7339,distress,-0.1564,2.6278,1.5167,1
-0.1585,-0.1536,-0.0581,0.0156,0.4945,0.0758,distress,-0.0514,4.8546,0.4243,0
0.1712,0.181,0.066,1.345,0.6797,1.7243,grey,0.0252,1.4414,1.531,0
0.1331,0.2035,0.0997,0.3809,1.0639,1.7993,grey,-0.0659,0.9221,3.5069,0
0.1022,0.2247,0.0553,0.9978,0.8008,1.6537,grey,0.018,1.1403,3.2001,0
0.2479,0.3052,0.1636,1.6316,1.3859,3.0129,safe,0.1004,0.9372,5.6202,0
0.3309,0.2837,0.3058,1.0714,1.0828,2.9582,safe,0.1824,0.5039,8.2351,0
0.0514,-0.2547,0.0105,0.2767,1.1605,1.1281,distress,0.1324,3.8309,1.7787,1
0.0971,0.0456,-0.0398,0.3987,0.6731,0.8238,distress,-0.0046,2.4477,1.7953,0
0.3853,0.4913,0.208,1.6119,1.0479,3.0613,safe,0.0554,0.5781,7.5601,0
0.0535,0.2457,0.3252,2.0174,1.0321,3.1343,safe,0.1079,0.7938,7.1027,0
-0.15,-0.123,-0.0312,0.0503,0.7834,0.4942,distress,-0.0414,3.665,0.3506,1
-0.1766,-0.3025,0.0536,0.3372,0.9873,0.9108,distress,-0.0645,2.6691,1.7106,1
0.0297,0.0971,0.0507,0.8493,0.7399,1.3562,grey,-0.009,1.0596,3.2188,1
-0.1378,-0.1556,-0.0352,0.2661,1.1603,0.9297,distress,-0.1864,4.2195,1.7815,0
0.3016,0.2672,0.2402,2.0691,1.6012,3.6558,safe,0.0707,0.9474,4.1989,0
0.1515,0.0568,0.0865,0.7791,0.5666,1.3182,grey,-0.093,1.2751,3.6387,0
0.119,0.3054,0.1517,2.0297,1.4106,3.0756,safe,0.0883,0.3633,11.1763,0
0.3828,0.4727,0.088,2.2319,1.1014,2.9848,safe,0.0763,0.78,6.375,0
0.2305,0.1299,0.0507,0.8033,1.259,2.0266,grey,0.0489,1.8539,3.2418,0
0.423,0.1413,0.1815,1.69,1.3025,2.9965,safe,0.0792,0.8846,5.7046,1
0.3997,0.3142,0.2214,1.5864,1.2476,3.1521,safe,0.1175,0.5845,10.5122,0
0.3245,0.1493,0.1209,1.3696,1.9372,3.2433,safe,0.1881,0.3186,4.3957,0
0.3429,0.3334,0.1831,1.4172,1.4701,3.1594,safe,0.1244,0.3174,11.4197,0
0.4871,0.2516,0.3146,1.799,1.3224,3.6151,safe,0.177,0.9466,7.5039,0
0.4825,0.2956,0.2574,2.0055,1.4348,3.6703,safe,0.0259,0.5809,6.5915,0
0.5294,0.4315,0.1734,1.9764,1.43,3.5411,safe,0.0873,0.935,7.3544,0
-0.0577,-0.018,0.0377,0.4353,0.5388,0.7812,distress,-0.026,3.6889,1.6707,1
0.342,0.4798,0.2337,1.8057,1.2746,3.408,safe,0.0827,0.6753,8.9743,0
0.2771,0.2586,0.218,1.8015,1.3021,3.1512,safe,0.1202,0.7589,9.3033,0
0.3174,0.4427,0.2902,1.632,1.7715,3.9578,safe,0.0821,0.8035,11.1006,0
0.143,-0.3865,-0.054,0.0936,0.6842,0.3296,distress,-0.0966,4.6091,1.3175,0
0.1671,-0.1235,0.092,0.1973,0.7728,1.1552,distress,0.1793,2.7418,0.5995,1
0.401,0.2895,0.1563,2.5336,1.1657,3.2458,safe,0.218,0.7417,6.7814,0
-0.155,-0.1521,-0.0614,0.2155,0.7297,0.3879,distress,-0.1,4.6787,0.2043,1
0.0498,-0.0192,0.0809,0.7635,0.7829,1.3726,grey,0.1508,1.7132,2.2422,1
0.1038,0.1731,0.1266,0.9452,0.8348,1.8446,grey,-0.1375,2.386,2.0097,0
-0.1194,-0.1038,-0.0101,0.1111,0.6412,0.4816,distress,0.1858,3.4774,0.2981,0
0.4236,0.3374,0.2179,1.0979,1.2993,3.0244,safe,0.0618,0.762,6.4198,0
-0.1236,-0.0407,-0.1275,0.2922,0.6217,0.2241,distress,-0.1418,3.7689,1.4382,0
0.1072,-0.17,-0.0454,0.3459,0.5694,0.5053,distress,-0.1071,2.9363,1.7716,0
0.3385,0.2164,0.2197,2.1251,1.3781,3.3765,safe,0.1722,0.9619,7.1399,0
0.2826,0.2288,0.1272,2.9408,1.2893,3.3135,safe,0.1332,0.4438,11.1069,0
0.2641,0.2162,0.0587,1.1495,1.1319,2.1673,grey,0.1901,2.2204,1.7223,1
0.4083,0.4732,0.2506,2.0195,1.7232,4.0402,safe,0.1063,0.8631,8.2618,0
0.0537,0.1154,-0.0132,0.397,0.6401,0.9007,distress,-0.0235,4.1201,1.1205,1
0.2944,0.172,0.2809,2.6645,1.6078,3.9532,safe,0.0953,0.7157,5.0082,0
0.4211,0.3793,0.1591,1.5688,1.4574,3.2309,safe,0.0685,0.8974,5.8715,0
0.3686,0.1422,0.1043,0.4767,0.5783,1.486,grey,0.1208,1.1474,1.734,0
0.1241,0.125,0.0854,0.8645,1.0931,1.9142,grey,0.0489,1.6543,2.5444,0
0.2637,0.2852,0.1708,1.9917,1.4999,3.2949,safe,0.0165,0.5683,9.8375,0
0.3761,0.1888,0.2515,1.9314,1.344,3.3634,safe,-0.0247,0.8905,11.2212,0
-0.0045,-0.0233,0.0171,0.2206,0.6169,0.7384,distress,-0.1418,2.4711,0.2189,1
0.3948,0.3058,0.2129,1.7062,1.2834,3.2011,safe,0.0895,0.4318,4.2503,0
0.141,0.0478,0.0648,1.1688,0.6985,1.5308,grey,-0.0876,1.323,2.2478,1
0.4868,0.2148,0.3138,2.2977,1.4913,3.9592,safe,0.0817,0.8395,8.3238,0
-0.0265,0.1979,0.0804,0.7389,0.5322,1.2399,grey,0.0452,2.0739,2.2196,1
0.143,-0.224,0.009,0.1828,0.767,0.7829,distress,-0.1551,3.5369,1.4919,0
0.1007,0.2748,0.0807,1.1873,0.9654,2.0177,grey,0.0678,0.888,2.6941,0
0.1635,0.156,0.0686,0.3155,1.1471,1.7399,grey,0.0355,2.2103,1.5611,0
0.0335,-0.1064,0.0306,0.1548,0.7924,0.8849,distress,0.0068,3.2501,0.2058,1
0.4954,0.2544,0.2479,1.4778,1.1819,3.1412,safe,0.0157,0.8583,10.7134,0
0.3223,0.2404,0.1805,2.1975,1.2541,3.1701,safe,0.0406,0.9996,8.1317,0
0.3397,0.2972,0.1935,2.2738,0.8667,2.9165,safe,0.0097,0.3503,5.1023,0
0.0441,-0.043,-0.0394,0.0004,0.522,0.394,distress,-0.0035,2.1289,0.3269,0
0.3277,0.1727,0.0795,1.2771,0.9398,2.1025,grey,0.008,0.9542,2.5591,0
0.0406,0.2022,-0.0161,1.1387,0.8862,1.5131,grey,-0.0735,2.4481,3.3328,0
0.2403,0.4837,0.3543,1.2142,1.0895,3.2801,safe,0.1005,0.8773,6.4827,0
0.1824,0.0592,0.1089,0.814,1.0905,1.9493,grey,0.0923,2.3596,3.6275,0
0.4546,0.4188,0.1922,1.5498,1.3455,3.2715,safe,0.0483,0.9126,8.8818,0
0.4212,0.1819,0.146,1.4877,1.5975,3.1289,safe,0.0998,0.6272,7.1365,0
0.5016,0.2739,0.2304,1.9185,1.1685,3.2794,safe,0.1618,0.9572,6.7571,0
0.4386,0.3491,0.252,1.9447,1.0933,3.3011,safe,0.1002,0.992,10.5465,0
0.5036,0.3183,0.1065,1.1159,1.6953,3.1223,safe,0.1834,0.4073,5.4341,0
0.2971,0.3233,0.1813,2.6009,1.1282,3.2684,safe,0.0186,0.5911,4.3329,0
0.1996,0.1493,0.0656,0.9215,1.4586,2.3161,grey,-0.0089,1.5858,2.3172,0
0.2939,0.2978,0.0862,1.9144,1.4902,3.0222,safe,0.0976,0.45,5.117,0
0.3603,0.2853,0.2753,1.4889,1.8181,3.7951,safe,0.0665,0.3703,6.1163,0
0.1057,-0.1816,0.0806,0.2824,0.7512,1.0406,distress,0.0579,3.4748,1.4893,0
0.3928,0.2811,0.1997,1.981,1.5962,3.5652,safe,0.0594,0.7046,9.5982,0
0.3337,0.3338,0.2644,1.8453,1.3932,3.509,safe,-0.043,0.6544,9.5541,0
0.1835,0.1241,0.1041,0.9523,1.0508,2.0086,grey,-0.0161,1.3763,3.1386,1
0.0382,0.0892,0.1131,0.6075,0.9578,1.6653,grey,-0.011,0.9104,1.6373,0
-0.1238,-0.0699,-0.0087,0.3971,0.8307,0.8209,distress,0.0289,3.3625,0.5047,1
0.3092,0.3039,0.1613,2.3247,0.9972,2.9517,safe,0.0283,0.5072,6.97,0
0.1311,-0.1494,-0.0007,0.4329,0.5537,0.6997,distress,-0.0011,3.1636,1.4997,0
0.2748,0.3397,0.2133,1.4889,1.4962,3.2662,safe,0.1495,0.9122,6.7146,0
0.2678,0.3202,0.2307,1.8057,1.5987,3.5338,safe,0.1314,0.9658,4.9478,0
0.229,0.1984,0.1446,1.3335,0.6834,2.0236,grey,0.011,2.0776,2.7692,0
-0.1604,-0.0958,-0.07,0.582,0.5296,0.3593,distress,0.1431,2.015,0.4949,0
0.0741,-0.2996,-0.0734,0.4647,0.5493,0.3146,distress,-0.0992,3.4156,1.1312,0
0.2962,0.1847,0.0848,0.0691,0.6541,1.3141,grey,0.0581,1.5961,3.9055,0
0.3677,0.1916,0.1854,1.9141,1.9552,3.7573,safe,0.1926,0.9531,10.4349,0
0.0501,0.1229,0.0887,0.2431,0.8549,1.3708,grey,0.011,1.4599,2.3635,0
0.4274,0.2961,0.2844,1.5589,1.4998,3.5924,safe,0.0858,0.4502,8.5014,0
0.1737,0.2722,0.0573,0.8779,1.1562,2.0559,grey,-0.0015,2.18,2.3739,0
0.1632,-0.1602,-0.0275,0.6285,1.0163,1.1741,distress,-0.0576,2.8788,1.6229,0
0.2144,0.2205,0.2582,2.2201,1.6462,3.7182,safe,0.0637,0.6439,11.1442,0
-0.1301,-0.0989,-0.0168,0.0075,0.895,0.6672,distress,0.0153,3.6452,0.5549,1
-0.0484,-0.1085,-0.0188,0.2101,1.0699,0.9709,distress,-0.0709,4.8186,1.2574,0
0.075,0.2766,0.1687,1.5878,1.5237,2.9997,safe,0.1519,0.3111,7.8176,0
